text,category,label
Cancel my plan please.,Subscription Cancellation,Sales Inquiry
"Your subscription expired, click here to renew and get 90% off forever.",Spam (synthetic),Spam
"Your package could not be delivered, click this link to reschedule.",Spam (synthetic),Spam
"Act fast, this deal won't last!",Spam (synthetic),Spam
"The product did not match the description, I want a refund.",Refund Request,Sales Inquiry
How do I unsubscribe?,Subscription Cancellation,Sales Inquiry
"Please reverse the charge, I did not approve this purchase.",Refund Request,Sales Inquiry
Is a refund possible for this purchase?,Refund Request,Sales Inquiry
The app says 'sync complete' but the data is clearly missing.,Data Sync Issue,Complaint
I had to manually refresh several times before data finally synced.,Data Sync Issue,Complaint
There's an error on this page.,Bug Report,Complaint
"Make $5000 a week working from home, no experience needed, sign up now!",Spam (synthetic),Spam
What is your refund policy?,Refund Request,Sales Inquiry
The CAPTCHA on the login page won't load properly.,Login Issue,Complaint
The system is not syncing data across devices properly.,Data Sync Issue,Complaint
The calendar view shows the wrong dates for recurring events.,Bug Report,Complaint
"Limited time offer, act now!",Spam (synthetic),Spam
Some of my records disappeared after the last sync attempt.,Data Sync Issue,Complaint
Congratulations you won!,Spam (synthetic),Spam
Please confirm what steps I need to take to lift the suspension.,Account Suspension,Complaint
The CAPTCHA on the login page won't load properly.,Login Issue,Complaint
"I cancelled my plan but I was still charged, requesting a full refund.",Refund Request,Sales Inquiry
Can I get a partial refund if I cancel mid-cycle?,Subscription Cancellation,Sales Inquiry
The refund I requested last week has not appeared in my account.,Refund Request,Sales Inquiry
How do I cancel my subscription before the next billing date?,Subscription Cancellation,Sales Inquiry
"Click here to unlock your mystery reward worth up to $10,000.",Spam (synthetic),Spam
This feature doesn't work.,Bug Report,Complaint
Please refund my last order.,Refund Request,Sales Inquiry
"Act fast, this deal won't last!",Spam (synthetic),Spam
Could you add an export to Excel option in the reports section?,Feature Request,Sales Inquiry
URGENT: Your account will be deleted unless you verify your details immediately.,Spam (synthetic),Spam
"Earn passive income instantly, just click and enter your bank details.",Spam (synthetic),Spam
"Click here to unlock your mystery reward worth up to $10,000.",Spam (synthetic),Spam
Please stop auto-renewal on my account going forward.,Subscription Cancellation,Sales Inquiry
Earn money online fast.,Spam (synthetic),Spam
Earn money online fast.,Spam (synthetic),Spam
"Make $5000 a week working from home, no experience needed, sign up now!",Spam (synthetic),Spam
I want to review the list of devices currently logged into my account.,Security Concern,Complaint
"Hot singles in your area want to chat with you tonight, click here!",Spam (synthetic),Spam
Please confirm what steps I need to take to lift the suspension.,Account Suspension,Complaint
"I would like to request a refund for my last payment, it was charged twice.",Refund Request,Sales Inquiry
"The product did not match the description, I want a refund.",Refund Request,Sales Inquiry
"Act now! Your loan has been pre-approved, click here to receive funds.",Spam (synthetic),Spam
Server response time has been unacceptably slow all week.,Performance Issue,Complaint
I'd like to suggest adding role-based access control for teams.,Feature Request,Sales Inquiry
Some of my records disappeared after the last sync attempt.,Data Sync Issue,Complaint
My subscription was cancelled without my request and I need clarification.,Subscription Cancellation,Sales Inquiry
How much does it cost?,Payment Problem,Sales Inquiry
My automatic payment didn't go through this billing cycle.,Payment Problem,Sales Inquiry
How do I request a refund?,Refund Request,Sales Inquiry
There's an unexpected fee on my invoice I'd like explained.,Payment Problem,Sales Inquiry
The application crashes.,Bug Report,Complaint
"Act fast, this deal won't last!",Spam (synthetic),Spam
My account shows as suspended when I try to sign in.,Login Issue,Complaint
I tried cancelling online but the option doesn't appear in my settings.,Subscription Cancellation,Sales Inquiry
"Your package could not be delivered, click this link to reschedule.",Spam (synthetic),Spam
I can't log in even though I'm sure my password is correct.,Login Issue,Complaint
Please add an undo option after deleting an item by mistake.,Feature Request,Sales Inquiry
"Limited time offer, act now!",Spam (synthetic),Spam
The app crashes every time I try to open the settings page.,Bug Report,Complaint
My team's access was suspended along with my own account.,Account Suspension,Complaint
The export button throws an error instead of downloading the file.,Bug Report,Complaint
Please consider adding two-way calendar sync in a future update.,Feature Request,Sales Inquiry
"Limited time offer, act now!",Spam (synthetic),Spam
Earn money online fast.,Spam (synthetic),Spam
"Click here to unlock your mystery reward worth up to $10,000.",Spam (synthetic),Spam
Why is this taking so long to load?,Performance Issue,Complaint
I can't log in using my linked Google account anymore.,Login Issue,Complaint
Is a refund possible for this purchase?,Refund Request,Sales Inquiry
The login page keeps refreshing without letting me sign in.,Login Issue,Complaint
"I changed my mind about cancelling, can you reactivate my plan?",Subscription Cancellation,Sales Inquiry
The refund I requested last week has not appeared in my account.,Refund Request,Sales Inquiry
"Lose 20 pounds in a week with this one weird trick, click to learn more!",Spam (synthetic),Spam
The export button throws an error instead of downloading the file.,Bug Report,Complaint
There seems to be a discrepancy in my billing statement for this month.,Payment Problem,Sales Inquiry
Can you provide pricing details?,Payment Problem,Sales Inquiry
I tried to pay but the transaction keeps failing.,Payment Problem,Sales Inquiry
Claim your reward now.,Spam (synthetic),Spam
Sync conflicts keep appearing for files I haven't edited recently.,Data Sync Issue,Complaint
Earn money online fast.,Spam (synthetic),Spam
"Limited time offer, act now!",Spam (synthetic),Spam
I cannot log in.,Login Issue,Complaint
"Make $5000 a week working from home, no experience needed, sign up now!",Spam (synthetic),Spam
It would help a lot if we could customize the notification settings.,Feature Request,Sales Inquiry
I returned the item and I'm still waiting on my refund.,Refund Request,Sales Inquiry
My account has been suspended and I don't understand why.,Account Suspension,Complaint
"Limited time offer: double your crypto investment in 24 hours, click now!",Spam (synthetic),Spam
The app takes too long to load on my mobile device.,Performance Issue,Complaint
The application crashes.,Bug Report,Complaint
I would like to know the cost.,Payment Problem,Sales Inquiry
Can I get a refund if I cancel within the trial period?,Refund Request,Sales Inquiry
I'm seeing frequent lag spikes while typing in the editor.,Performance Issue,Complaint
Earn money online fast.,Spam (synthetic),Spam
Can you process a refund for the order I cancelled yesterday?,Refund Request,Sales Inquiry
"Act now! Your loan has been pre-approved, click here to receive funds.",Spam (synthetic),Spam
Can you reverse this charge for me?,Refund Request,Sales Inquiry
I want to switch to a cheaper plan.,Subscription Cancellation,Sales Inquiry
Final notice: pay this invoice within 1 hour or face legal action.,Spam (synthetic),Spam
"Earn passive income instantly, just click and enter your bank details.",Spam (synthetic),Spam
I need my account reinstated as soon as possible for work.,Account Suspension,Complaint
Click here now!,Spam (synthetic),Spam
I keep getting logged out randomly while using the app.,Bug Report,Complaint
I'm locked out of my account.,Login Issue,Complaint
I am experiencing very slow performance while using the dashboard.,Performance Issue,Complaint
I tried cancelling online but the option doesn't appear in my settings.,Subscription Cancellation,Sales Inquiry
I had to manually refresh several times before data finally synced.,Data Sync Issue,Complaint
Can you provide pricing details?,Payment Problem,Sales Inquiry
My bank is asking about a charge from you I don't recognize.,Payment Problem,Sales Inquiry
I'd like a partial refund since only half the order arrived.,Refund Request,Sales Inquiry
Data synchronization is not working.,Data Sync Issue,Complaint
The video call feature drops frames constantly during use.,Performance Issue,Complaint
I want to confirm your platform is compliant with data protection regulations.,Security Concern,Complaint
"Congratulations! You've won a free gift, click here to claim it now!",Spam (synthetic),Spam
Some of my records disappeared after the last sync attempt.,Data Sync Issue,Complaint
I think I found a glitch.,Bug Report,Complaint
"Your computer has a virus, download this tool immediately to fix it.",Spam (synthetic),Spam
"Your computer has a virus, download this tool immediately to fix it.",Spam (synthetic),Spam
This is running really slow for me.,Performance Issue,Complaint
I want to review the list of devices currently logged into my account.,Security Concern,Complaint
"Click here to unlock your mystery reward worth up to $10,000.",Spam (synthetic),Spam
"Your bank account has been flagged, verify your password here immediately.",Spam (synthetic),Spam
"You have been selected for a $1000 cash prize, claim before it expires!",Spam (synthetic),Spam
The system has been extremely sluggish since the last update.,Performance Issue,Complaint
Why isn't my data updating across devices?,Data Sync Issue,Complaint
I want to cancel my subscription effective immediately.,Subscription Cancellation,Sales Inquiry
Pages are timing out frequently during peak hours.,Performance Issue,Complaint
The app takes too long to load on my mobile device.,Performance Issue,Complaint
Why was I charged in a different currency than expected?,Payment Problem,Sales Inquiry
Can you confirm that my cancellation request was processed?,Subscription Cancellation,Sales Inquiry
The password reset link in my email isn't working.,Login Issue,Complaint
Why can't I sign in?,Login Issue,Complaint
Is it possible to get a refund instead of store credit?,Refund Request,Sales Inquiry
My account has been suspended and I don't understand why.,Account Suspension,Complaint
Is this feature on your roadmap?,Feature Request,Sales Inquiry
The system is not syncing data across devices properly.,Data Sync Issue,Complaint
Notifications stopped working after the last app update.,Bug Report,Complaint
Changes made by my teammate aren't showing up on my end.,Data Sync Issue,Complaint
Why was I charged in a different currency than expected?,Payment Problem,Sales Inquiry
"Limited time offer, act now!",Spam (synthetic),Spam
When will I get my refund?,Refund Request,Sales Inquiry
Is there a way to add multi-language support to the dashboard?,Feature Request,Sales Inquiry
"Act now! Your loan has been pre-approved, click here to receive funds.",Spam (synthetic),Spam
This feature doesn't work.,Bug Report,Complaint
My bank is asking about a charge from you I don't recognize.,Payment Problem,Sales Inquiry
I found a bug.,Bug Report,Complaint
The export button throws an error instead of downloading the file.,Bug Report,Complaint
It would be great if the app supported dark mode.,Feature Request,Sales Inquiry
It would help a lot if we could customize the notification settings.,Feature Request,Sales Inquiry
I have a suggestion for a new feature.,Feature Request,Sales Inquiry
"You have been selected for a $1000 cash prize, claim before it expires!",Spam (synthetic),Spam
"Click here to unlock your mystery reward worth up to $10,000.",Spam (synthetic),Spam
"Your package could not be delivered, click this link to reschedule.",Spam (synthetic),Spam
Can you process a refund for the order I cancelled yesterday?,Refund Request,Sales Inquiry
"Act fast, this deal won't last!",Spam (synthetic),Spam
What's the cost of the premium tier?,Payment Problem,Sales Inquiry
Server response time has been unacceptably slow all week.,Performance Issue,Complaint
Sync failed again.,Data Sync Issue,Complaint
Someone tried resetting my password without my consent.,Security Concern,Complaint
I want to pause my subscription rather than cancel it outright.,Subscription Cancellation,Sales Inquiry
"Please cancel my plan, I no longer need this service.",Subscription Cancellation,Sales Inquiry
Earn money online fast.,Spam (synthetic),Spam
I'd like to switch to a free plan instead of cancelling completely.,Subscription Cancellation,Sales Inquiry
"Please restore my account, the suspension seems unwarranted.",Account Suspension,Complaint
I need a refund as soon as possible.,Refund Request,Sales Inquiry
I'm locked out of my account.,Login Issue,Complaint
I need my account reinstated as soon as possible for work.,Account Suspension,Complaint
I tried cancelling online but the option doesn't appear in my settings.,Subscription Cancellation,Sales Inquiry
"Your subscription expired, click here to renew and get 90% off forever.",Spam (synthetic),Spam
"Exclusive deal just for you: buy one get ten free, limited stock!",Spam (synthetic),Spam
Can you process a refund for the order I cancelled yesterday?,Refund Request,Sales Inquiry
Final notice: pay this invoice within 1 hour or face legal action.,Spam (synthetic),Spam
Can you add this feature please?,Feature Request,Sales Inquiry
I noticed an API key was generated that I didn't create.,Security Concern,Complaint
Please refund my last order.,Refund Request,Sales Inquiry
Can you tell me what triggered the suspension on my account?,Account Suspension,Complaint
Is there a way to add multi-language support to the dashboard?,Feature Request,Sales Inquiry
"I was double billed this month, please refund the extra charge.",Refund Request,Sales Inquiry
"I believe my account was suspended by mistake, please review it.",Account Suspension,Complaint
"Act fast, this deal won't last!",Spam (synthetic),Spam
"Limited time offer: double your crypto investment in 24 hours, click now!",Spam (synthetic),Spam
Why can't I sign in?,Login Issue,Complaint
It would be great if the app supported dark mode.,Feature Request,Sales Inquiry
"You have been selected for a $1000 cash prize, claim before it expires!",Spam (synthetic),Spam
Changes made by my teammate aren't showing up on my end.,Data Sync Issue,Complaint
Photos uploaded on mobile never appear on the web version.,Data Sync Issue,Complaint
I'm unable to switch between multiple accounts after logging in.,Login Issue,Complaint
The app keeps crashing.,Bug Report,Complaint
Is my data safe with you?,Security Concern,Complaint
Congratulations you won!,Spam (synthetic),Spam
Final notice: pay this invoice within 1 hour or face legal action.,Spam (synthetic),Spam
The search feature returns no results even for valid queries.,Bug Report,Complaint
I returned the item and I'm still waiting on my refund.,Refund Request,Sales Inquiry
"I changed my mind about cancelling, can you reactivate my plan?",Subscription Cancellation,Sales Inquiry
"Act now! Your loan has been pre-approved, click here to receive funds.",Spam (synthetic),Spam
"Your bank account has been flagged, verify your password here immediately.",Spam (synthetic),Spam
When will I get my refund?,Refund Request,Sales Inquiry
Click here now!,Spam (synthetic),Spam
"Your subscription expired, click here to renew and get 90% off forever.",Spam (synthetic),Spam
Loading the reports section takes over a minute every time.,Performance Issue,Complaint
Click here now!,Spam (synthetic),Spam
"Your bank account has been flagged, verify your password here immediately.",Spam (synthetic),Spam
I'm seeing outdated information that hasn't synced in days.,Data Sync Issue,Complaint
Is there a way to add multi-language support to the dashboard?,Feature Request,Sales Inquiry
Could the app support integration with our calendar tool?,Feature Request,Sales Inquiry
Can you provide pricing details?,Payment Problem,Sales Inquiry
I tried to pay but the transaction keeps failing.,Payment Problem,Sales Inquiry
Things aren't syncing properly.,Data Sync Issue,Complaint
"Your computer has a virus, download this tool immediately to fix it.",Spam (synthetic),Spam
Congratulations you won!,Spam (synthetic),Spam
"Lose 20 pounds in a week with this one weird trick, click to learn more!",Spam (synthetic),Spam
"I cancelled my plan but I was still charged, requesting a full refund.",Refund Request,Sales Inquiry
"Click here to unlock your mystery reward worth up to $10,000.",Spam (synthetic),Spam
"Limited time offer: double your crypto investment in 24 hours, click now!",Spam (synthetic),Spam
"Your subscription expired, click here to renew and get 90% off forever.",Spam (synthetic),Spam
I'd like to request a feature for scheduling recurring tasks.,Feature Request,Sales Inquiry
Is there a way to add multi-language support to the dashboard?,Feature Request,Sales Inquiry
URGENT: Your account will be deleted unless you verify your details immediately.,Spam (synthetic),Spam
Congratulations you won!,Spam (synthetic),Spam
Claim your reward now.,Spam (synthetic),Spam
"Limited time offer, act now!",Spam (synthetic),Spam
"Your bank account has been flagged, verify your password here immediately.",Spam (synthetic),Spam
Please add an undo option after deleting an item by mistake.,Feature Request,Sales Inquiry
"Your bank account has been flagged, verify your password here immediately.",Spam (synthetic),Spam
Performance has gotten worse recently.,Performance Issue,Complaint
My bank is asking about a charge from you I don't recognize.,Payment Problem,Sales Inquiry
"Free money waiting for you, click here.",Spam (synthetic),Spam
"Congratulations, you are today's lucky visitor, claim your free prize now!",Spam (synthetic),Spam
Notifications stopped working after the last app update.,Bug Report,Complaint
"Your bank account has been flagged, verify your password here immediately.",Spam (synthetic),Spam
I'm concerned my password may have been compromised.,Security Concern,Complaint
"Lose 20 pounds in a week with this one weird trick, click to learn more!",Spam (synthetic),Spam
"My account got suspended right after I reported a bug, is that related?",Account Suspension,Complaint
Is there a way to expedite the review of my suspended account?,Account Suspension,Complaint
I returned the item and I'm still waiting on my refund.,Refund Request,Sales Inquiry
Someone accessed my account.,Security Concern,Complaint
"Click here to unlock your mystery reward worth up to $10,000.",Spam (synthetic),Spam
"You have been selected for a $1000 cash prize, claim before it expires!",Spam (synthetic),Spam
I returned the item and I'm still waiting on my refund.,Refund Request,Sales Inquiry
Is it possible to get a refund instead of store credit?,Refund Request,Sales Inquiry
Final notice: pay this invoice within 1 hour or face legal action.,Spam (synthetic),Spam
"Exclusive deal just for you: buy one get ten free, limited stock!",Spam (synthetic),Spam
Earn money online fast.,Spam (synthetic),Spam
The system is not syncing data across devices properly.,Data Sync Issue,Complaint
Click here now!,Spam (synthetic),Spam
The search feature returns no results even for valid queries.,Bug Report,Complaint
